"","IncPurity_1"
"YEAR",2615303.31324033
"CORN_SQKM",1894555.29942869
"AG_SQKM",634883.228469676
"SDI_CDL_AG",783061.578593189
"GDD",1104571.85411875
"TP",547646.280465018
"BV2",1142922.47356325
"BV4",510112.436803738
"BV8",383693.834773596
"BV9",579449.57778658
"BV15",343124.424778082
"BV18",1199539.98544782
"BV19",367143.979039995
"SLOPE",321325.680390627
"ELEVATION",489150.259321022
"S_PH_H2O",357448.419761665
"T_CACO3",151143.044358214
"T_CASO4",4340.61019586651
"T_CEC_CLAY",245251.992206419
"T_CEC_SOIL",349446.968432733
"T_ESP",202318.864580911
"T_GRAVEL",211097.844104245
"T_OC",286222.322212089
"T_REF_BULK_DENSITY",293030.830053332
"T_SILT",207713.901498765
"T_ECE",60154.2925692569
"T_SAND",211471.811756395
"PERC_IRR",2269138.7096367
"FRR",1757241.75231246
